,salario,NombreEmpresa,modalidad,Plataforma,Fecha,salary.country.currency.currencyCode,PuestoTrabajo,pais,codigo_pais,sub_region
152,144201.0,Walt Disney Company,presencial,glassdoor,2019-10-24,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
153,47757.0,Epikso,presencial,glassdoor,2019-10-29,,data analyst,Mexico,MX,Latin America and the Caribbean
154,51165.0,Thermo Fisher Scientific,presencial,glassdoor,2019-11-09,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
155,52656.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-11-07,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
156,57925.0,NTT DATA,presencial,glassdoor,2019-10-14,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
157,58057.0,Softtek,presencial,glassdoor,2019-10-28,,data analyst,Mexico,MX,Latin America and the Caribbean
158,58367.0,Emerson,presencial,glassdoor,2019-10-31,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
159,58719.0,Primeworks Studios (M),presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
160,58768.0,Sunwing Travel Group,presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
161,58787.0,Gensuite,presencial,glassdoor,2019-10-26,,data analyst,Mexico,MX,Latin America and the Caribbean
162,58880.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-11-08,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
163,59176.0,Konfío,presencial,glassdoor,2019-10-18,,data analyst,Mexico,MX,Latin America and the Caribbean
164,103009.0,Danfoss,presencial,glassdoor,2019-11-08,,data analyst,Mexico,MX,Latin America and the Caribbean
165,103325.0,DXC Technology,presencial,glassdoor,2019-10-31,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
166,106609.0,IT-Experience,presencial,glassdoor,2019-10-16,,data analyst,Mexico,MX,Latin America and the Caribbean
167,112604.0,Barbachano International,presencial,glassdoor,2019-10-29,,data analyst,Mexico,MX,Latin America and the Caribbean
168,112673.0,Maersk Line,presencial,glassdoor,2019-11-05,,data analyst,Mexico,MX,Latin America and the Caribbean
169,114463.0,Eaton,presencial,glassdoor,2019-10-16,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
170,115375.0,Emerson,presencial,glassdoor,2019-10-31,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
171,123760.0,63 moons technologies,presencial,glassdoor,2019-10-26,,data analyst,Mexico,MX,Latin America and the Caribbean
172,123814.0,Vantis (Mexico),presencial,glassdoor,2019-10-23,,data analyst,Mexico,MX,Latin America and the Caribbean
173,126969.0,AstraZeneca,presencial,glassdoor,2019-10-22,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
174,129490.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-10-19,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
175,129507.0,Transfast,presencial,glassdoor,2019-10-24,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
176,119358.0,Gensuite,presencial,glassdoor,2019-10-26,,data analyst,Mexico,MX,Latin America and the Caribbean
177,119668.0,Xideral,presencial,glassdoor,2019-11-07,,data analyst,Mexico,MX,Latin America and the Caribbean
178,119909.0,Listopro,presencial,glassdoor,2019-10-24,,data analyst,Mexico,MX,Latin America and the Caribbean
179,119912.0,Caden Concepts,presencial,glassdoor,2019-10-17,,data analyst,Mexico,MX,Latin America and the Caribbean
180,125928.0,99,presencial,glassdoor,2019-10-30,,data analyst,Mexico,MX,Latin America and the Caribbean
181,126077.0,Sanmina,presencial,glassdoor,2019-10-29,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
182,131555.0,Moody's,presencial,glassdoor,2019-10-29,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
183,131664.0,IBTCI,presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
184,131779.0,Embraco North America,presencial,glassdoor,2019-10-23,,data analyst,Mexico,MX,Latin America and the Caribbean
185,133399.0,Colgate-Palmolive,presencial,glassdoor,2019-10-30,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
186,133616.0,Symbiotics,presencial,glassdoor,2019-11-07,,data analyst,Mexico,MX,Latin America and the Caribbean
187,133787.0,Moody's,presencial,glassdoor,2019-10-29,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
188,133865.0,TE Connectivity,presencial,glassdoor,2019-10-22,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
189,59219.0,TE Connectivity,presencial,glassdoor,2019-11-05,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
190,59392.0,Swiss Re,presencial,glassdoor,2019-10-27,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
191,60146.0,Empower4Talent,presencial,glassdoor,2019-10-30,,data analyst,Mexico,MX,Latin America and the Caribbean
192,60264.0,Rise Interactive,presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
193,140290.0,J.P. Morgan,presencial,glassdoor,2019-11-06,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
194,1859.0,Transfast,presencial,glassdoor,2019-10-30,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
195,7043.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-11-01,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
196,7052.0,Listopro,presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
197,16878.0,CompuCom,presencial,glassdoor,2019-10-24,,data analyst,Mexico,MX,Latin America and the Caribbean
198,17053.0,HP Inc.,presencial,glassdoor,2019-10-26,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
199,22264.0,Indra,presencial,glassdoor,2019-10-16,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
200,22674.0,Itera (Mexico),presencial,glassdoor,2019-10-31,,data analyst,Mexico,MX,Latin America and the Caribbean
201,126167.0,DXC Technology,presencial,glassdoor,2019-10-31,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
202,126373.0,Gepa Consulting,presencial,glassdoor,2019-10-17,,data analyst,Mexico,MX,Latin America and the Caribbean
203,126431.0,Rise Interactive,presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
204,140497.0,NXP Semiconductors,presencial,glassdoor,2019-10-25,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
205,118566.0,WESCO International,presencial,glassdoor,2019-10-21,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
206,120452.0,PPG Industries,presencial,glassdoor,2019-10-14,,data analyst,Mexico,MX,Latin America and the Caribbean
207,120613.0,Robert Bosch,presencial,glassdoor,2019-11-05,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
208,120695.0,Moody's,presencial,glassdoor,2019-10-29,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
209,121476.0,PPG Industries,presencial,glassdoor,2019-11-07,,data analyst,Mexico,MX,Latin America and the Caribbean
210,121607.0,Transfast,presencial,glassdoor,2019-10-22,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
211,122868.0,Primeworks Studios (M),presencial,glassdoor,2019-11-07,,data analyst,Mexico,MX,Latin America and the Caribbean
212,122893.0,Emerson,presencial,glassdoor,2019-10-28,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
213,143420.0,NTT DATA,presencial,glassdoor,2019-10-20,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
214,144568.0,PPG Industries,presencial,glassdoor,2019-10-14,,data analyst,Mexico,MX,Latin America and the Caribbean
215,93580.0,Avantor,presencial,glassdoor,2019-10-14,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
216,116335.0,TE Connectivity,presencial,glassdoor,2019-11-05,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
217,136177.0,HP Inc.,presencial,glassdoor,2019-10-17,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
218,4723.0,Page Group (London),presencial,glassdoor,2019-10-28,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
219,4898.0,Multiplica,presencial,glassdoor,2019-10-23,,data analyst,Mexico,MX,Latin America and the Caribbean
220,14744.0,Customer Intelligence,presencial,glassdoor,2019-09-05,,data analyst,Mexico,MX,Latin America and the Caribbean
221,32775.0,Poly,presencial,glassdoor,2019-11-08,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
222,28622.0,Crossbridge,presencial,glassdoor,2019-10-25,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
223,29744.0,CHEP,presencial,glassdoor,2019-10-18,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
224,32055.0,Moody's,presencial,glassdoor,2019-10-29,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
225,45749.0,TE Connectivity,presencial,glassdoor,2019-10-23,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
226,107871.0,True Blue Manufacturing,presencial,glassdoor,2019-09-30,,data analyst,Mexico,MX,Latin America and the Caribbean
